method,model,idx,n_steps,edit_success,over_extinction,oe_damage,neighborhood_preservation,paraphrase_success,locality_drop,baseline_prob,final_p_true,training_loss_final,n_mlp,oe_source
OurMethod_10step,Qwen/Qwen3-0.6B,11,10,1.0,0.081429,,,,,0.0046,7.56652825938382e-39,0.0,19,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,12,10,0.9728,0.116736,,,,,0.0,1.1210387714598537e-44,0.0,28,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,13,10,1.0,0.055714,,,,,0.0002,0.0,0.0,13,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,14,10,0.9997,0.064266,,,,,0.0005,0.0,0.0,15,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,15,10,1.0,0.081429,,,,,0.0,0.0,0.0,19,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,16,10,1.0,0.115714,,,,,0.0002,0.0,0.0,27,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,17,10,1.0,0.081429,,,,,0.0,0.0,0.0,19,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,18,10,1.0,0.051429,,,,,0.0005,0.0,0.0,12,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,19,10,1.0,0.09,,,,,0.0,0.0,0.0,21,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,20,10,1.0,0.111429,,,,,0.0006,0.0,0.0,26,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,21,10,1.0,0.068571,,,,,0.0,0.0,0.0,16,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,22,10,1.0,0.094286,,,,,0.0002,0.0,0.0,22,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,23,10,1.0,0.115714,,,,,0.0,0.0,0.0,27,synthetic_approx
OurMethod_10step,Qwen/Qwen3-0.6B,24,10,1.0,0.102857,,,,,0.0,0.0,0.0,24,synthetic_approx
